iter	Passed	Remaining
0	146	29092
1	156	15472
2	166	10962
3	177	8687
4	188	7337
5	198	6418
6	207	5734
7	217	5227
8	227	4828
9	236	4502
10	247	4256
11	258	4045
12	268	3865
13	279	3717
14	289	3569
15	299	3442
16	310	3338
17	320	3243
18	330	3151
19	340	3068
20	351	2994
21	362	2930
22	372	2869
23	383	2814
24	393	2757
25	404	2705
26	414	2656
27	425	2612
28	435	2567
29	445	2522
30	456	2486
31	467	2452
32	477	2414
33	486	2377
34	496	2342
35	508	2315
36	520	2291
37	530	2261
38	540	2230
39	549	2198
40	558	2165
41	570	2147
42	580	2118
43	590	2093
44	600	2069
45	610	2045
46	621	2021
47	631	1998
48	640	1973
49	650	1952
50	660	1928
51	669	1904
52	678	1882
53	689	1864
54	699	1843
55	708	1823
56	718	1803
57	728	1784
58	738	1765
59	748	1745
60	756	1724
61	767	1707
62	775	1686
63	785	1670
64	795	1651
65	803	1632
66	813	1615
67	823	1598
68	833	1582
69	845	1570
70	856	1556
71	867	1541
72	877	1526
73	888	1512
74	899	1499
75	910	1485
76	921	1472
77	932	1457
78	943	1445
79	955	1432
80	964	1417
81	975	1404
82	986	1391
83	996	1376
84	1006	1361
85	1016	1347
86	1025	1331
87	1035	1317
88	1044	1302
89	1055	1290
90	1064	1275
91	1075	1262
92	1085	1248
93	1094	1234
94	1103	1219
95	1112	1205
96	1122	1191
97	1132	1178
98	1141	1164
99	1150	1150
100	1160	1137
101	1170	1124
102	1180	1111
103	1190	1098
104	1200	1085
105	1210	1073
106	1220	1060
107	1230	1048
108	1240	1035
109	1250	1023
110	1259	1010
111	1268	996
112	1277	983
113	1285	969
114	1295	957
115	1304	944
116	1315	933
117	1325	920
118	1334	908
119	1344	896
120	1354	884
121	1363	871
122	1372	859
123	1382	847
124	1393	835
125	1402	823
126	1412	811
127	1421	799
128	1431	788
129	1443	777
130	1452	765
131	1462	753
132	1471	741
133	1482	730
134	1494	719
135	1505	708
136	1516	697
137	1526	685
138	1537	674
139	1548	663
140	1557	651
141	1567	640
142	1578	629
143	1589	618
144	1600	606
145	1610	595
146	1619	584
147	1629	572
148	1639	561
149	1649	549
150	1658	538
151	1667	526
152	1677	515
153	1687	504
154	1696	492
155	1707	481
156	1717	470
157	1727	459
158	1736	447
159	1747	436
160	1757	425
161	1767	414
162	1777	403
163	1786	392
164	1796	381
165	1806	370
166	1816	358
167	1825	347
168	1835	336
169	1845	325
170	1854	314
171	1864	303
172	1874	292
173	1885	281
174	1895	270
175	1907	260
176	1916	249
177	1928	238
178	1939	227
179	1951	216
180	1962	205
181	1973	195
182	1983	184
183	1992	173
184	2002	162
185	2012	151
186	2022	140
187	2032	129
188	2044	118
189	2053	108
190	2063	97
191	2075	86
192	2086	75
193	2097	64
194	2109	54
195	2121	43
196	2131	32
197	2141	21
198	2150	10
199	2159	0
